ws,wd
7.6,119
6.8,123
5.6,123
4.5,120
4.3,117
4.9,115
5.7,107
6.5,108
6.0,116
4.8,115
4.7,108
4.7,99
4.7,90
4.8,84
5.5,85
7.5,87
8.5,85
6.9,99
6.6,95
7.6,92
8.8,100
9.9,107
9.9,108
9.6,110
9.1,112
8.6,112
8.3,112
7.8,114
7.4,117
6.9,117
6.7,114
7.1,112
7.3,112
5.8,109
5.9,104
6.6,99
6.8,88
7.2,84
7.8,84
8.3,86
8.3,83
9.0,76
9.7,82
10.2,84
10.2,89
10.3,95
10.3,97
10.1,98
9.8,98
9.4,100
9.1,101
8.9,101
8.6,102
8.1,104
7.8,105
8.0,101
7.8,98
7.7,99
8.5,93
9.2,89
9.6,85
10.0,85
10.6,84
10.9,81
11.4,80
11.7,81
11.5,81
12.0,82
12.5,91
12.2,97
11.7,98
11.6,99
11.6,103
11.1,104
10.6,103
10.2,101
10.0,100
9.6,99
9.4,100
9.5,100
8.9,98
8.8,96
9.6,95
9.9,95
9.8,90
9.9,85
10.1,77
11.4,72
12.1,74
11.8,75
11.6,74
11.8,72
11.9,73
11.9,77
11.9,82
11.5,88
11.2,92
10.9,93
10.7,95
10.4,98
10.1,102
9.6,103
8.9,102
8.4,98
7.3,94
7.0,97
7.6,97
7.8,93
8.2,87
7.7,84
7.7,80
7.9,74
9.3,66
10.1,67
9.7,68
